title,artist,bpm,has_horn,energy_level,is_jam_vehicle,avg_length
1612,Vulfpeck,86,True,standard,False,293
2nd Red Barn on the Right,From Good Homes,96,False,standard,False,262
After Midnight,JJ Cale,100,False,standard,False,252
Another Brick in the Wall,Pink Floyd,104,False,high,True,360
Bertha,Grateful Dead,100,False,standard,False,252
Can’t U See,Marshall Tucker Band,87,False,standard,True,324
Chameleon,Herbie Hancock,107,False,standard,True,235
Cissy Strut,The Meters,88,True,standard,False,286
Cities,Talking Heads,94,False,standard,False,268
Cocaine,JJ Cale,105,False,standard,False,300
Could You Be Loved,Bob Marley,103,False,standard,True,340
DWBWID,Delvin Lamar Organ Trio,85,False,high,False,296
Dancing in the Moonlight,King Harvest,123,True,low,False,204
Deal,Grateful Dead,140,False,standard,False,285
Down Under,Men at Work,107,False,high,False,295
Electric Avenue,Eddy Grant,116,False,high,True,600
Elizabeth,Goose,150,False,high,True,168
Express Urself,Charles Wright & the Watts 103rd Street Rhythm Band,93,True,high,False,270
Fire on the Mountain,Grateful Dead,77,False,standard,False,327
Ghostbusters,Ray Parker Jr.,115,False,high,False,219
Green Onions,Booker T. & the M.G.'s,137,False,standard,False,183
Green River,Creedence Clearwater Revival,140,False,standard,True,320
Hard to Handle,The Black Crowes,105,False,high,False,390
Higher Ground,Stevie Wonder,140,False,high,False,320
Hollywood Swinging,Kool & The Gang,110,True,high,True,462
I'm a Ram,Al Green,81,False,low,False,371
In the Meantime,Spacehog,85,False,standard,False,296
It’s a Bunch,Spafford,88,False,standard,False,286
Jumping Jack Flash,The Rolling Stones,136,False,high,False,185
Leave the Light On,Spafford,80,False,standard,False,315
Little L,Jamiroquai,118,False,standard,False,213
Mary Janes Last Dance,Tom Petty,86,False,low,False,372
Midnight Rider,The Allman Brothers Band,87,False,standard,True,472
Miss You,The Rolling Stones,110,False,standard,True,229
Mysterious Ways,U2,99,False,standard,False,254
No Rain,Blind Melon,144,False,standard,False,287
Officer,Slightly Stoopid,95,False,standard,False,265
Owner of a Lonely Heart,Yes,120,False,high,False,210
Poster Child,Red Hot Chili Peppers,83,False,standard,False,303
Praise U,Fatboy Slim,119,False,high,False,211
Pride (In the Name of Love),U2,108,False,high,False,233
Pumped Up Kicks,Foster the People,130,False,high,True,193
Remedy,The Black Crowes,80,False,high,False,315
Shakedown Street,Grateful Dead,106,False,high,True,640
Southbound,The Allman Brothers Band,124,False,high,False,203
Superstition,Stevie Wonder,100,True,high,False,252
Take Me to the River,Al Green,108,False,standard,False,409
Thank U,Sly and the Family Stone,110,True,high,True,409
Time,Pink Floyd,71,False,low,False,354
Use Me,Bill Withers,78,True,standard,False,323
WS Walcott,The Band,90,False,high,True,480
When My Train Pulls In,Gary Clark Jr.,85,False,standard,False,330
White Wedding,Billy Idol,140,False,high,True,420
Wish I Knew You,The Revivalists,101,False,standard,False,249
